state_id,shells,winding,symmetry,freq_law,amp_law,phase_law,amplitudes,phases,frequencies,n_shells,energy_law,energy,closure_defect,spectral_variance,torsion_penalty,boundary_penalty,stability_score
S00024,1,1,charged_lepton,closure_corrected,closure_weight,exact_closure,1.00000000,0.00000000,1.77983739,1,optimal_k,2.804655375931e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00024,1,1,charged_lepton,closure_corrected,closure_weight,exact_closure,1.00000000,0.00000000,1.77983739,1,phi_growing_2,4.659674781468e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00025,1,1,charged_lepton,closure_corrected,closure_weight,torsional_offset,1.00000000,0.00000000,1.77983739,1,structural_k,2.657541114351e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00025,1,1,charged_lepton,closure_corrected,closure_weight,torsional_offset,1.00000000,0.00000000,1.77983739,1,optimal_k,2.804655375931e+01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00025,1,1,charged_lepton,closure_corrected,closure_weight,torsional_offset,1.00000000,0.00000000,1.77983739,1,phi_growing_2,4.659674781468e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
S00026,1,1,charged_lepton,closure_corrected,closure_weight,winding_parity,1.00000000,0.52359878,1.77983739,1,structural_k,2.657541114351e+01,1.023474859319e-01,0.000000000000e+00,2.679491968328e-01,0.000000000000e+00,1.827322449818e-01
S00026,1,1,charged_lepton,closure_corrected,closure_weight,winding_parity,1.00000000,0.52359878,1.77983739,1,optimal_k,2.804655375931e+01,1.023474859319e-01,0.000000000000e+00,2.679491968328e-01,0.000000000000e+00,1.827322449818e-01
S00026,1,1,charged_lepton,closure_corrected,closure_weight,winding_parity,1.00000000,0.52359878,1.77983739,1,phi_growing_2,4.659674781468e+00,1.023474859319e-01,0.000000000000e+00,2.679491968328e-01,0.000000000000e+00,1.827322449818e-01
S00054,"2,3,4",1,baryon,linear,uniform,exact_closure,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3,structural_k,2.325021112069e+04,0.000000000000e+00,9.433722727066e+00,0.000000000000e+00,0.000000000000e+00,4.716861363533e+00
S00054,"2,3,4",1,baryon,linear,uniform,exact_closure,"0.33333333,0.33333333,0.33333333","0.00000000,0.00000000,0.00000000","2.00000000,3.00000000,4.00000000",3,optimal_k,2.876349129916e+04,0.000000000000e+00,9.433722727066e+00,0.000000000000e+00,0.000000000000e+00,4.716861363533e+00
